product_id,product_name,product_company,product_original_price,product_discounted_price,product_image,product_image_path,product_category,product_bottle_type,product_dietary_attribute
41,Pokka Bottle Drink - Japanese Green Tea (No Sugar Added),Pokka,$1.80,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12044369_XL1_20230913.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Japanese Green Tea (No Sugar Added)1.5L.jpg,Drinks,1.5L,•Halal
42,Pokka Houjicha Japanese Roasted Green Tea - No Sugar,Pokka,$6.55,$8.75,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13234164_XL1_20240912.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Houjicha Japanese Roasted Green Tea - No Sugar12 x 300ml.jpg,Drinks,12 x 300ml,
43,Pokka Bottle Drink - Honey Green Tea,Pokka,$1.80,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13008547_XL1_20221123.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Honey Green Tea1.5L.jpg,Drinks,1.5L,
44,Pokka Bottle Drink - Green Tea Peppermint,Pokka,$1.80,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13163377_XL1_20221123.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Green Tea Peppermint1.5L.jpg,Drinks,1.5L,•Halal
45,Pokka Lychee Oolong Tea,Pokka,$1.80,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13260278_XL1_20241016.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Lychee Oolong Tea1.5L.jpg,Drinks,1.5L,•Halal
46,Pokka Can Drink - Oolong Tea (No Sugar Added),Pokka,$6.55,$8.75,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13052602_XL1_20221123.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Drink - Oolong Tea (No Sugar Added)12 x 300ml.jpg,Drinks,12 x 300ml,•Halal
47,Pokka Packet Drink - Natsbee Honey Yuzu,Pokka,$3.68,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13166229_XL1_20230215.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Natsbee Honey Yuzu6 x 250ml.jpg,Drinks,6 x 250ml,•Halal
48,Pokka Can Sencha Japanese Green Tea Can - No Sugar,Pokka,$6.55,$8.75,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13234166_XL1_20240912.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Sencha Japanese Green Tea Can - No Sugar12 x 300ml.jpg,Drinks,12 x 300ml,
49,Pokka Packet Drink - Natsbee Honey Lemon,Pokka,$3.68,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13061326_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Natsbee Honey Lemon6 x 250ml.jpg,Drinks,6 x 250ml,
50,Pokka Packet Drink Sencha Japanese Green Tea - No Sugar,Pokka,$8.95,$14.40,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12713134_XL1_20231107.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink Sencha Japanese Green Tea - No Sugar24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),
51,Pokka Can Drink - Ice Lemon Tea,Pokka,$6.55,$8.75,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11204957_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Can Drink - Ice Lemon Tea12 x 300ml (CTN).jpg,Drinks,12 x 300ml (CTN),
52,Pokka Bottle Drink - Chrysanthemum with White Tea,Pokka,$1.80,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11430655_XL1_20250320.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Chrysanthemum with White Tea1.5L.jpg,Drinks,1.5L,•Halal
53,Pokka Bottle Drink - Ice Lemon Tea,Pokka,$19.00,$30.00,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12712542_XL1_20230329.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Ice Lemon Tea12 x 1.5L (CTN).jpg,Drinks,12 x 1.5L (CTN),•Halal
54,Pokka Bottle Drink - Jasmine Green Tea,Pokka,$19.00,$30.00,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12713334_XL1_20240313.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Jasmine Green Tea12 x 1.5L (CTN).jpg,Drinks,12 x 1.5L (CTN),•Halal
55,Pokka Premium Packet Drink - Milk Tea (Original),Pokka,$14.20,$15.74,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12203032_XL1_20230327.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Premium Packet Drink - Milk Tea (Original)24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),•Halal
56,Pokka Bottle Drink - Fresh Pomegranate Juice,Pokka,$4.24,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11575627_XL1_20221229.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Fresh Pomegranate Juice1.5L.jpg,Drinks,1.5L,
57,Pokka Packet Drink - Soursop Juice,Pokka,$2.90,$3.18,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10003045_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Soursop Juice6 x 250ml.jpg,Drinks,6 x 250ml,
58,Pokka Bottle Drink - Peach Tea,Pokka,$19.00,$30.00,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12712543_XL1_20230329.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Peach Tea12 x 1.5L (CTN).jpg,Drinks,12 x 1.5L (CTN),•Halal
59,Pokka Bottle Drink - Natsbee Honey Lemon,Pokka,$1.95,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13050682_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Natsbee Honey Lemon1.5L.jpg,Drinks,1.5L,
60,Pokka Bottle Drink - Kiyo Kyoho Grape,Pokka,$2.55,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13096525_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Bottle Drink - Kiyo Kyoho Grape1.5L.jpg,Drinks,1.5L,•Halal
61,Pokka Natsbee Bottle Drink - Honey Yuzu,Pokka,$1.95,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13165998_XL1_20221011.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Natsbee Bottle Drink - Honey Yuzu1.5L.jpg,Drinks,1.5L,•Halal
62,Pokka Packet Drink - Natsbee Honey Lemon,Pokka,$8.95,$14.53,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12704820_XL1_20230327.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Natsbee Honey Lemon24 x 250ml (CTN).jpg,Drinks,24 x 250ml (CTN),
63,Pokka Packet Drink - Ice Blueberry Tea (Less Sugar),Pokka,$3.60,0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13151476_XL1_20230914.jpg?w=320&q=60,C:\Users\PC\Desktop\EdgeProject\SenseiStore\SenseiStore\scraping\images\Pokka Packet Drink - Ice Blueberry Tea (Less Sugar)6 x 250ml.jpg,Drinks,6 x 250ml,•Halal
